Transcript	Gene
uc002ktk.2	ABHD3
uc002ktl.2	ABHD3
uc002ktm.2	ABHD3
uc002ktn.2	ABHD3
uc002kto.2	ABHD3
uc010xao.1	ABHD3
uc001wgm.2	ABHD4
uc010tmz.1	ABHD4
uc010tna.1	ABHD4
uc010tnb.1	ABHD4
uc003cmx.2	ABHD5
uc003djr.2	ABHD6
uc003djs.3	ABHD6
uc003djt.3	ABHD6
uc002ngb.3	ABHD8
uc001isx.2	ABI1
uc001isy.2	ABI1
uc001isz.2	ABI1
uc001ita.2	ABI1
uc001itb.2	ABI1
uc001itc.2	ABI1
uc001itd.2	ABI1
uc001ite.2	ABI1
uc010qdg.1	ABI1
uc010qdh.1	ABI1
uc010qdi.1	ABI1
uc010qdj.1	ABI1
uc010qdk.1	ABI1
uc002uzz.2	ABI2
uc002vaa.2	ABI2
uc002vab.2	ABI2
uc002vac.2	ABI2
uc010zig.1	ABI2
uc010zih.1	ABI2
uc010zii.1	ABI2
uc010zij.1	ABI2
uc010zik.1	ABI2
uc010zil.1	ABI2
uc010zim.1	ABI2
uc010zin.1	ABI2
uc003duj.2	ABI3BP
uc003duk.2	ABI3BP
uc003dul.2	ABI3BP
uc003dum.2	ABI3BP
uc003dun.2	ABI3BP
uc003duo.2	ABI3BP
uc003dup.3	ABI3BP
uc011bhd.1	ABI3BP
uc002iop.1	ABI3
uc002ioq.1	ABI3
uc004bzv.2	ABL1
uc004bzw.2	ABL1
uc001gmg.3	ABL2
uc001gmh.3	ABL2
uc001gmi.3	ABL2
uc001gmj.3	ABL2
uc001gmk.2	ABL2
uc009wxe.2	ABL2
uc009wxf.1	ABL2
uc010pne.1	ABL2
uc010pnf.1	ABL2
uc010png.1	ABL2
uc010pnh.1	ABL2
uc001lbz.1	ABLIM1
uc009xyn.2	ABLIM1
uc009xyo.2	ABLIM1
uc009xyp.2	ABLIM1
uc010qsf.1	ABLIM1
uc010qsg.1	ABLIM1
uc010qsh.1	ABLIM1
uc010qsi.1	ABLIM1
uc010qsj.1	ABLIM1
uc010qsk.1	ABLIM1
uc003gki.2	ABLIM2
uc003gkj.3	ABLIM2
uc003gkk.2	ABLIM2
uc003gkl.2	ABLIM2
uc003gkm.3	ABLIM2
uc003gko.2	ABLIM2
uc003gkp.2	ABLIM2
uc003gkq.2	ABLIM2
uc003gkr.2	ABLIM2
uc003gks.3	ABLIM2
uc011bwl.1	ABLIM2
uc003lpy.2	ABLIM3
uc003lpz.1	ABLIM3
uc003lqa.1	ABLIM3
uc003lqb.2	ABLIM3
uc003lqc.1	ABLIM3
uc003lqd.1	ABLIM3
uc003lqe.1	ABLIM3
uc003lqf.2	ABLIM3
uc004cda.1	ABO
uc010naf.1	ABO
uc010nag.1	ABO
uc011mcz.1	ABO
uc003why.1	AOC1
uc003whz.1	AOC1
uc003wia.1	AOC1
uc003ymm.3	ABRA
uc002fsd.2	ABR
uc002fse.2	ABR
uc002fsf.2	ABR
uc002fsg.2	ABR
uc002fsh.1	ABR
uc010cjq.1	ABR
uc010vqf.1	ABR
uc010vqg.1	ABR
uc003nii.2	ABT1
uc003ejr.2	ABTB1
uc003ejs.2	ABTB1
uc003ejt.2	ABTB1
uc003eju.2	ABTB1
uc010hsm.2	ABTB1
uc001mvl.1	ABTB2
uc003cht.2	ACAA1
uc003chu.2	ACAA1
uc003chv.2	ACAA1
uc010hgy.2	ACAA1
uc010hgz.2	ACAA1
uc002ldw.3	ACAA2
uc002ldx.3	ACAA2
uc002hnk.2	ACACA
uc002hnl.2	ACACA
uc002hnm.2	ACACA
uc002hnn.2	ACACA
uc002hno.2	ACACA
uc002hnp.1	ACACA
uc002hnq.2	ACACA
uc002hnr.1	ACACA
uc010cuy.2	ACACA
uc010cuz.2	ACACA
uc010wdb.1	ACACA
uc010wdc.1	ACACA
uc001tob.2	ACACB
uc001toc.2	ACACB
uc001tod.2	ACACB
uc010sxl.1	ACACB
uc010sxm.1	ACACB
uc001tso.3	ACAD10
uc001tsp.2	ACAD10
uc001tsq.2	ACAD10
uc001tsr.2	ACAD10
uc001tss.1	ACAD10
uc009zvw.2	ACAD10
uc009zvx.2	ACAD10
uc003eov.3	ACAD11
uc003eoy.2	ACAD11
uc011blr.1	ACAD11
uc001qhk.2	ACAD8
uc001qhl.2	ACAD8
uc009zdc.2	ACAD8
uc009zde.1	ACAD8
uc010sco.1	ACAD8
